student_id,name,age,department,gpa
74752,Student_74752,20,Dept_2,6.0
74753,Student_74753,21,Dept_3,6.5
74754,Student_74754,22,Dept_4,7.0
74755,Student_74755,23,Dept_0,5.0
74756,Student_74756,24,Dept_1,5.5
74757,Student_74757,25,Dept_2,6.0
74758,Student_74758,26,Dept_3,6.5
74759,Student_74759,27,Dept_4,7.0
74760,Student_74760,18,Dept_0,5.0
74761,Student_74761,19,Dept_1,5.5
74762,Student_74762,20,Dept_2,6.0
74763,Student_74763,21,Dept_3,6.5
74764,Student_74764,22,Dept_4,7.0
74765,Student_74765,23,Dept_0,5.0
74766,Student_74766,24,Dept_1,5.5
74767,Student_74767,25,Dept_2,6.0
74768,Student_74768,26,Dept_3,6.5
74769,Student_74769,27,Dept_4,7.0
74770,Student_74770,18,Dept_0,5.0
74771,Student_74771,19,Dept_1,5.5
74772,Student_74772,20,Dept_2,6.0
74773,Student_74773,21,Dept_3,6.5
74774,Student_74774,22,Dept_4,7.0
74775,Student_74775,23,Dept_0,5.0
74776,Student_74776,24,Dept_1,5.5
74777,Student_74777,25,Dept_2,6.0
74778,Student_74778,26,Dept_3,6.5
74779,Student_74779,27,Dept_4,7.0
74780,Student_74780,18,Dept_0,5.0
74781,Student_74781,19,Dept_1,5.5
74782,Student_74782,20,Dept_2,6.0
74783,Student_74783,21,Dept_3,6.5
74784,Student_74784,22,Dept_4,7.0
74785,Student_74785,23,Dept_0,5.0
74786,Student_74786,24,Dept_1,5.5
74787,Student_74787,25,Dept_2,6.0
74788,Student_74788,26,Dept_3,6.5
74789,Student_74789,27,Dept_4,7.0
74790,Student_74790,18,Dept_0,5.0
74791,Student_74791,19,Dept_1,5.5
74792,Student_74792,20,Dept_2,6.0
74793,Student_74793,21,Dept_3,6.5
74794,Student_74794,22,Dept_4,7.0
74795,Student_74795,23,Dept_0,5.0
74796,Student_74796,24,Dept_1,5.5
74797,Student_74797,25,Dept_2,6.0
74798,Student_74798,26,Dept_3,6.5
74799,Student_74799,27,Dept_4,7.0
74800,Student_74800,18,Dept_0,5.0
74801,Student_74801,19,Dept_1,5.5
74802,Student_74802,20,Dept_2,6.0
74803,Student_74803,21,Dept_3,6.5
74804,Student_74804,22,Dept_4,7.0
74805,Student_74805,23,Dept_0,5.0
74806,Student_74806,24,Dept_1,5.5
74807,Student_74807,25,Dept_2,6.0
74808,Student_74808,26,Dept_3,6.5
74809,Student_74809,27,Dept_4,7.0
74810,Student_74810,18,Dept_0,5.0
74811,Student_74811,19,Dept_1,5.5
74812,Student_74812,20,Dept_2,6.0
74813,Student_74813,21,Dept_3,6.5
74814,Student_74814,22,Dept_4,7.0
74815,Student_74815,23,Dept_0,5.0
74816,Student_74816,24,Dept_1,5.5
74817,Student_74817,25,Dept_2,6.0
74818,Student_74818,26,Dept_3,6.5
74819,Student_74819,27,Dept_4,7.0
74820,Student_74820,18,Dept_0,5.0
74821,Student_74821,19,Dept_1,5.5
74822,Student_74822,20,Dept_2,6.0
74823,Student_74823,21,Dept_3,6.5
74824,Student_74824,22,Dept_4,7.0
74825,Student_74825,23,Dept_0,5.0
74826,Student_74826,24,Dept_1,5.5
74827,Student_74827,25,Dept_2,6.0
74828,Student_74828,26,Dept_3,6.5
74829,Student_74829,27,Dept_4,7.0
74830,Student_74830,18,Dept_0,5.0
74831,Student_74831,19,Dept_1,5.5
74832,Student_74832,20,Dept_2,6.0
74833,Student_74833,21,Dept_3,6.5
74834,Student_74834,22,Dept_4,7.0
74835,Student_74835,23,Dept_0,5.0
74836,Student_74836,24,Dept_1,5.5
74837,Student_74837,25,Dept_2,6.0
74838,Student_74838,26,Dept_3,6.5
74839,Student_74839,27,Dept_4,7.0
74840,Student_74840,18,Dept_0,5.0
74841,Student_74841,19,Dept_1,5.5
74842,Student_74842,20,Dept_2,6.0
74843,Student_74843,21,Dept_3,6.5
74844,Student_74844,22,Dept_4,7.0
74845,Student_74845,23,Dept_0,5.0
74846,Student_74846,24,Dept_1,5.5
74847,Student_74847,25,Dept_2,6.0
74848,Student_74848,26,Dept_3,6.5
74849,Student_74849,27,Dept_4,7.0
74850,Student_74850,18,Dept_0,5.0
74851,Student_74851,19,Dept_1,5.5
74852,Student_74852,20,Dept_2,6.0
74853,Student_74853,21,Dept_3,6.5
74854,Student_74854,22,Dept_4,7.0
74855,Student_74855,23,Dept_0,5.0
74856,Student_74856,24,Dept_1,5.5
74857,Student_74857,25,Dept_2,6.0
74858,Student_74858,26,Dept_3,6.5
74859,Student_74859,27,Dept_4,7.0
74860,Student_74860,18,Dept_0,5.0
74861,Student_74861,19,Dept_1,5.5
74862,Student_74862,20,Dept_2,6.0
74863,Student_74863,21,Dept_3,6.5
74864,Student_74864,22,Dept_4,7.0
74865,Student_74865,23,Dept_0,5.0
74866,Student_74866,24,Dept_1,5.5
74867,Student_74867,25,Dept_2,6.0
74868,Student_74868,26,Dept_3,6.5
74869,Student_74869,27,Dept_4,7.0
74870,Student_74870,18,Dept_0,5.0
74871,Student_74871,19,Dept_1,5.5
74872,Student_74872,20,Dept_2,6.0
74873,Student_74873,21,Dept_3,6.5
74874,Student_74874,22,Dept_4,7.0
74875,Student_74875,23,Dept_0,5.0
74876,Student_74876,24,Dept_1,5.5
74877,Student_74877,25,Dept_2,6.0
74878,Student_74878,26,Dept_3,6.5
74879,Student_74879,27,Dept_4,7.0
74880,Student_74880,18,Dept_0,5.0
74881,Student_74881,19,Dept_1,5.5
74882,Student_74882,20,Dept_2,6.0
74883,Student_74883,21,Dept_3,6.5
74884,Student_74884,22,Dept_4,7.0
74885,Student_74885,23,Dept_0,5.0
74886,Student_74886,24,Dept_1,5.5
74887,Student_74887,25,Dept_2,6.0
74888,Student_74888,26,Dept_3,6.5
74889,Student_74889,27,Dept_4,7.0
74890,Student_74890,18,Dept_0,5.0
74891,Student_74891,19,Dept_1,5.5
74892,Student_74892,20,Dept_2,6.0
74893,Student_74893,21,Dept_3,6.5
74894,Student_74894,22,Dept_4,7.0
74895,Student_74895,23,Dept_0,5.0
74896,Student_74896,24,Dept_1,5.5
74897,Student_74897,25,Dept_2,6.0
74898,Student_74898,26,Dept_3,6.5
74899,Student_74899,27,Dept_4,7.0
74900,Student_74900,18,Dept_0,5.0
74901,Student_74901,19,Dept_1,5.5
74902,Student_74902,20,Dept_2,6.0
74903,Student_74903,21,Dept_3,6.5
74904,Student_74904,22,Dept_4,7.0
74905,Student_74905,23,Dept_0,5.0
74906,Student_74906,24,Dept_1,5.5
74907,Student_74907,25,Dept_2,6.0
74908,Student_74908,26,Dept_3,6.5
74909,Student_74909,27,Dept_4,7.0
74910,Student_74910,18,Dept_0,5.0
74911,Student_74911,19,Dept_1,5.5
74912,Student_74912,20,Dept_2,6.0
74913,Student_74913,21,Dept_3,6.5
74914,Student_74914,22,Dept_4,7.0
74915,Student_74915,23,Dept_0,5.0
74916,Student_74916,24,Dept_1,5.5
74917,Student_74917,25,Dept_2,6.0
74918,Student_74918,26,Dept_3,6.5
74919,Student_74919,27,Dept_4,7.0
74920,Student_74920,18,Dept_0,5.0
74921,Student_74921,19,Dept_1,5.5
74922,Student_74922,20,Dept_2,6.0
74923,Student_74923,21,Dept_3,6.5
74924,Student_74924,22,Dept_4,7.0
